mode,game_id,seed,score,steps,max_tile,ended,abort_reason,reached_256,reached_512,reached_1024,reached_2048,reached_4096,invalid_moves,invalid_move_rate,latency_avg,latency_p50,latency_p95,wall_clock_ms,jev_calls,jev_rejections,tokens_in,tokens_out,kept_playing,tag_counts
jev-state-history,0,123,488,119,64,game_over,,False,False,False,False,False,46,0.3866,593.4,399.2,1133.2,93121.7,119,0,127490,5355,False,"{""alternating_loop"": 0, ""repeated_state"": 37, ""invalid_repetition"": 39, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 2, ""decision_stagnation"": 25, ""harness_desync"": 0}"
jev-state-history,1,124,816,119,64,game_over,,False,False,False,False,False,17,0.1429,560.2,382.0,1183.0,79752.5,119,1,126664,5355,False,"{""alternating_loop"": 0, ""repeated_state"": 6, ""invalid_repetition"": 7, ""corner_break"": 0, ""space_collapse"": 2, ""greedy_trap"": 3, ""decision_stagnation"": 2, ""harness_desync"": 0}"
jev-state-history,2,125,1172,202,128,game_over,,False,False,False,False,False,76,0.3762,609.8,394.5,1325.0,161432.0,202,2,221558,9090,False,"{""alternating_loop"": 0, ""repeated_state"": 61, ""invalid_repetition"": 67, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 7, ""decision_stagnation"": 47, ""harness_desync"": 0}"
jev-state-history,3,126,600,98,64,game_over,,False,False,False,False,False,14,0.1429,588.9,371.2,1102.3,69435.6,98,3,103922,4410,False,"{""alternating_loop"": 0, ""repeated_state"": 6, ""invalid_repetition"": 9, ""corner_break"": 2, ""space_collapse"": 0, ""greedy_trap"": 2, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-state-history,4,127,1356,300,128,max_steps,,False,False,False,False,False,166,0.5533,583.8,383.7,1288.3,251095.6,300,3,330135,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 146, ""invalid_repetition"": 155, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 5, ""decision_stagnation"": 107, ""harness_desync"": 0}"
jev-state-history,5,128,424,69,64,game_over,,False,False,False,False,False,8,0.1159,686.2,506.8,1764.8,54221.8,69,0,71524,3105,False,"{""alternating_loop"": 2, ""repeated_state"": 4, ""invalid_repetition"": 5, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 3, ""decision_stagnation"": 2, ""harness_desync"": 0}"
jev-state-history,6,129,1184,127,128,game_over,,False,False,False,False,False,4,0.0315,581.5,372.5,1208.3,82932.0,127,0,135822,5715,False,"{""alternating_loop"": 12, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 2, ""space_collapse"": 0, ""greedy_trap"": 6, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-state-history,7,130,260,68,32,game_over,,False,False,False,False,False,16,0.2353,555.6,411.7,1162.1,47177.1,68,0,71602,3060,False,"{""alternating_loop"": 0, ""repeated_state"": 10, ""invalid_repetition"": 12, ""corner_break"": 2, ""space_collapse"": 0, ""greedy_trap"": 4, ""decision_stagnation"": 4, ""harness_desync"": 0}"
jev-state-history,8,131,656,191,64,game_over,,False,False,False,False,False,104,0.5445,555.3,364.3,1171.2,153967.9,191,5,209807,8595,False,"{""alternating_loop"": 0, ""repeated_state"": 90, ""invalid_repetition"": 86, ""corner_break"": 2, ""space_collapse"": 0, ""greedy_trap"": 1, ""decision_stagnation"": 58, ""harness_desync"": 0}"
jev-state-history,9,132,912,285,64,game_over,,False,False,False,False,False,176,0.6175,526.3,352.3,1222.7,227004.3,285,2,315359,12825,False,"{""alternating_loop"": 3, ""repeated_state"": 162, ""invalid_repetition"": 160, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 3, ""decision_stagnation"": 132, ""harness_desync"": 0}"
jev-state-history,10,133,896,299,64,game_over,,False,False,False,False,False,189,0.6321,528.2,356.6,1158.5,240973.8,299,4,327798,13455,False,"{""alternating_loop"": 0, ""repeated_state"": 178, ""invalid_repetition"": 175, ""corner_break"": 0, ""space_collapse"": 1, ""greedy_trap"": 9, ""decision_stagnation"": 136, ""harness_desync"": 0}"
jev-state-history,11,134,592,179,64,game_over,,False,False,False,False,False,100,0.5587,459.4,335.1,941.5,127200.7,179,1,196833,8055,False,"{""alternating_loop"": 0, ""repeated_state"": 88, ""invalid_repetition"": 88, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 4, ""decision_stagnation"": 68, ""harness_desync"": 0}"
