mode,game_id,seed,score,steps,max_tile,ended,abort_reason,reached_256,reached_512,reached_1024,reached_2048,reached_4096,invalid_moves,invalid_move_rate,latency_avg,latency_p50,latency_p95,wall_clock_ms,jev_calls,jev_rejections,tokens_in,tokens_out,kept_playing,tag_counts
jev-board,0,123,8,300,4,max_steps,,False,False,False,False,False,295,0.9833,379.6,327.1,651.1,230953.0,300,0,155100,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 293, ""invalid_repetition"": 294, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 292, ""harness_desync"": 0}"
jev-board,1,124,4,300,4,max_steps,,False,False,False,False,False,296,0.9867,373.5,327.1,639.6,229260.9,300,0,155100,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 293, ""invalid_repetition"": 295, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 295, ""harness_desync"": 0}"
jev-board,2,125,28,300,8,max_steps,,False,False,False,False,False,290,0.9667,372.6,327.7,631.5,227081.2,300,0,155100,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 288, ""invalid_repetition"": 289, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 289, ""harness_desync"": 0}"
jev-board,3,126,8,300,4,max_steps,,False,False,False,False,False,296,0.9867,375.1,333.0,654.6,229754.0,300,0,155100,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 293, ""invalid_repetition"": 295, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 293, ""harness_desync"": 0}"
jev-board,4,127,24,300,8,max_steps,,False,False,False,False,False,291,0.97,408.1,325.4,779.1,238401.4,300,0,155100,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 287, ""invalid_repetition"": 289, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 286, ""harness_desync"": 0}"
jev-board,5,128,52,300,8,max_steps,,False,False,False,False,False,286,0.9533,412.5,330.6,777.4,238134.4,300,0,155100,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 284, ""invalid_repetition"": 285, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 283, ""harness_desync"": 0}"
jev-board,6,129,16,300,4,max_steps,,False,False,False,False,False,291,0.97,406.6,330.2,758.4,238170.1,300,1,155100,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 288, ""invalid_repetition"": 289, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 287, ""harness_desync"": 0}"
jev-board,7,130,8,300,4,max_steps,,False,False,False,False,False,297,0.99,419.8,333.9,893.8,243957.6,300,1,155100,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 293, ""invalid_repetition"": 296, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 294, ""harness_desync"": 0}"
jev-board,8,131,24,300,8,max_steps,,False,False,False,False,False,290,0.9667,516.9,363.4,1172.3,271146.7,300,0,155100,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 288, ""invalid_repetition"": 289, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 289, ""harness_desync"": 0}"
jev-board,9,132,72,300,16,max_steps,,False,False,False,False,False,283,0.9433,512.3,368.9,1048.4,267306.9,300,0,155389,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 279, ""invalid_repetition"": 281, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 277, ""harness_desync"": 0}"
jev-board,10,133,20,300,8,max_steps,,False,False,False,False,False,290,0.9667,517.4,367.0,1144.1,271518.0,300,0,155100,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 287, ""invalid_repetition"": 288, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 287, ""harness_desync"": 0}"
jev-board,11,134,8,300,4,max_steps,,False,False,False,False,False,296,0.9867,499.0,361.4,1052.3,267410.4,300,0,155100,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 293, ""invalid_repetition"": 295, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 293, ""harness_desync"": 0}"
jev-state,0,123,600,88,64,game_over,,False,False,False,False,False,4,0.0455,537.0,385.2,1112.5,54125.2,88,0,54244,3960,False,"{""alternating_loop"": 0, ""repeated_state"": 2, ""invalid_repetition"": 2, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 8, ""decision_stagnation"": 1, ""harness_desync"": 0}"
jev-state,1,124,752,105,64,game_over,,False,False,False,False,False,4,0.0381,525.0,355.5,1113.0,63651.7,105,1,63913,4725,False,"{""alternating_loop"": 2, ""repeated_state"": 1, ""invalid_repetition"": 1, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 8, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-state,2,125,808,104,64,game_over,,False,False,False,False,False,5,0.0481,536.9,362.7,1142.7,64048.0,104,0,64538,4680,False,"{""alternating_loop"": 0, ""repeated_state"": 1, ""invalid_repetition"": 0, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 7, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-state,3,126,248,50,32,game_over,,False,False,False,False,False,0,0.0,505.8,346.6,929.2,28340.2,50,0,30041,2250,False,"{""alternating_loop"": 0, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 1, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-state,4,127,616,92,64,game_over,,False,False,False,False,False,9,0.0978,494.8,372.9,826.9,54279.0,92,0,58548,4140,False,"{""alternating_loop"": 0, ""repeated_state"": 3, ""invalid_repetition"": 0, ""corner_break"": 0, ""space_collapse"": 3, ""greedy_trap"": 2, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-state,5,128,1004,120,128,game_over,,False,False,False,False,False,15,0.125,498.0,384.9,960.8,72605.4,120,1,77439,5400,False,"{""alternating_loop"": 3, ""repeated_state"": 4, ""invalid_repetition"": 3, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 4, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-state,6,129,600,86,64,game_over,,False,False,False,False,False,2,0.0233,480.2,377.7,966.6,47693.4,86,1,52772,3870,False,"{""alternating_loop"": 1, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 0, ""space_collapse"": 2, ""greedy_trap"": 5, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-state,7,130,288,61,32,game_over,,False,False,False,False,False,6,0.0984,446.8,356.1,871.5,33014.0,61,0,37947,2745,False,"{""alternating_loop"": 0, ""repeated_state"": 2, ""invalid_repetition"": 2, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-state,8,131,424,68,64,game_over,,False,False,False,False,False,6,0.0882,487.6,398.4,990.2,39350.0,68,0,42839,3060,False,"{""alternating_loop"": 1, ""repeated_state"": 1, ""invalid_repetition"": 1, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 3, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-state,9,132,612,85,64,game_over,,False,False,False,False,False,3,0.0353,547.8,421.6,1157.5,53280.7,85,1,52751,3825,False,"{""alternating_loop"": 1, ""repeated_state"": 1, ""invalid_repetition"": 0, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 4, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-state,10,133,520,87,64,game_over,,False,False,False,False,False,11,0.1264,566.4,424.0,1216.3,58373.7,87,0,54534,3915,False,"{""alternating_loop"": 0, ""repeated_state"": 3, ""invalid_repetition"": 4, ""corner_break"": 3, ""space_collapse"": 1, ""greedy_trap"": 3, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-state,11,134,652,93,64,game_over,,False,False,False,False,False,8,0.086,572.4,442.6,1210.9,62073.3,93,1,59198,4185,False,"{""alternating_loop"": 2, ""repeated_state"": 4, ""invalid_repetition"": 3, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 4, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-history,0,123,196,300,16,max_steps,,False,False,False,False,False,255,0.85,597.7,383.5,1231.2,283984.4,300,0,307725,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 245, ""invalid_repetition"": 252, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 3, ""decision_stagnation"": 232, ""harness_desync"": 0}"
jev-history,1,124,500,152,64,game_over,,False,False,False,False,False,79,0.5197,801.2,432.7,2028.2,157903.3,152,0,152989,6840,False,"{""alternating_loop"": 0, ""repeated_state"": 60, ""invalid_repetition"": 70, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 41, ""harness_desync"": 0}"
jev-history,2,125,224,71,32,game_over,,False,False,False,False,False,27,0.3803,1069.9,515.4,4758.6,89544.8,71,0,69665,3195,False,"{""alternating_loop"": 0, ""repeated_state"": 20, ""invalid_repetition"": 23, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 1, ""decision_stagnation"": 10, ""harness_desync"": 0}"
jev-history,3,126,416,300,64,max_steps,,False,False,False,False,False,239,0.7967,612.0,380.7,1191.6,282712.0,300,0,312628,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 222, ""invalid_repetition"": 232, ""corner_break"": 2, ""space_collapse"": 0, ""greedy_trap"": 1, ""decision_stagnation"": 205, ""harness_desync"": 0}"
jev-history,4,127,628,300,64,max_steps,,False,False,False,False,False,216,0.72,447.1,376.3,861.8,226903.7,300,4,310870,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 195, ""invalid_repetition"": 204, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 173, ""harness_desync"": 0}"
jev-history,5,128,232,300,32,max_steps,,False,False,False,False,False,254,0.8467,394.5,357.0,567.8,223315.1,300,3,313183,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 245, ""invalid_repetition"": 249, ""corner_break"": 1, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 226, ""harness_desync"": 0}"
jev-history,6,129,692,217,64,game_over,,False,False,False,False,False,125,0.576,397.7,351.4,642.2,143098.3,217,4,222628,9765,False,"{""alternating_loop"": 0, ""repeated_state"": 104, ""invalid_repetition"": 117, ""corner_break"": 2, ""space_collapse"": 0, ""greedy_trap"": 5, ""decision_stagnation"": 72, ""harness_desync"": 0}"
jev-history,7,130,548,300,64,max_steps,,False,False,False,False,False,223,0.7433,407.5,344.9,772.5,217063.5,300,3,314465,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 204, ""invalid_repetition"": 209, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 182, ""harness_desync"": 0}"
jev-history,8,131,172,300,16,max_steps,,False,False,False,False,False,257,0.8567,409.6,348.0,785.2,227777.7,300,0,309863,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 247, ""invalid_repetition"": 251, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 1, ""decision_stagnation"": 233, ""harness_desync"": 0}"
jev-history,9,132,1036,300,128,max_steps,,False,False,False,False,False,191,0.6367,403.1,346.5,759.1,204625.1,300,1,314281,13500,False,"{""alternating_loop"": 2, ""repeated_state"": 170, ""invalid_repetition"": 177, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 7, ""decision_stagnation"": 150, ""harness_desync"": 0}"
jev-history,10,133,620,300,64,max_steps,,False,False,False,False,False,217,0.7233,428.1,350.9,855.4,220989.3,300,2,314714,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 201, ""invalid_repetition"": 205, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 178, ""harness_desync"": 0}"
jev-history,11,134,284,300,32,max_steps,,False,False,False,False,False,247,0.8233,453.2,365.4,913.1,238890.4,300,3,308616,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 235, ""invalid_repetition"": 237, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 209, ""harness_desync"": 0}"
jev-features,0,123,4528,300,512,max_steps,,True,True,False,False,False,0,0.0,427.1,361.9,732.4,147818.6,300,2,289163,13500,False,"{""alternating_loop"": 7, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 8, ""space_collapse"": 0, ""greedy_trap"": 7, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-features,1,124,2916,238,256,game_over,,True,False,False,False,False,0,0.0,422.7,360.5,715.9,116473.7,238,2,229137,10710,False,"{""alternating_loop"": 0, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 12, ""space_collapse"": 1, ""greedy_trap"": 8, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-features,2,125,3124,260,256,game_over,,True,False,False,False,False,0,0.0,441.0,368.1,737.7,132436.2,260,3,250647,11700,False,"{""alternating_loop"": 5, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 10, ""space_collapse"": 0, ""greedy_trap"": 1, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-features,3,126,4556,300,512,max_steps,,True,True,False,False,False,0,0.0,442.3,366.5,766.2,153025.1,300,4,289355,13500,False,"{""alternating_loop"": 1, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 6, ""space_collapse"": 0, ""greedy_trap"": 2, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-features,4,127,3532,283,256,game_over,,True,False,False,False,False,0,0.0,439.4,359.2,817.7,142315.0,283,0,273032,12735,False,"{""alternating_loop"": 3, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 8, ""space_collapse"": 0, ""greedy_trap"": 5, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-features,5,128,4552,300,512,max_steps,,True,True,False,False,False,0,0.0,426.3,350.6,766.3,148195.8,300,3,289555,13500,False,"{""alternating_loop"": 5, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 8, ""space_collapse"": 0, ""greedy_trap"": 7, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-features,6,129,3084,250,256,game_over,,True,False,False,False,False,0,0.0,427.3,356.1,770.9,123655.6,250,2,241034,11250,False,"{""alternating_loop"": 1, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 5, ""space_collapse"": 0, ""greedy_trap"": 8, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-features,7,130,4036,300,256,max_steps,,True,False,False,False,False,0,0.0,426.9,351.6,818.3,148553.3,300,3,289565,13500,False,"{""alternating_loop"": 0, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 7, ""space_collapse"": 0, ""greedy_trap"": 1, ""decision_stagnation"": 0, ""harness_desync"": 0}"
jev-features,8,131,4536,300,512,max_steps,,True,True,False,False,False,0,0.0,410.4,343.4,757.4,143479.3,300,2,289289,13500,False,"{""alternating_loop"": 2, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 11, ""space_collapse"": 0, ""greedy_trap"": 3, ""decision_stagnation"": 0, ""harness_desync"": 0}"
