mode,game_id,seed,score,steps,max_tile,ended,abort_reason,reached_256,reached_512,reached_1024,reached_2048,reached_4096,invalid_moves,invalid_move_rate,latency_avg,latency_p50,latency_p95,wall_clock_ms,jev_calls,jev_rejections,tokens_in,tokens_out,kept_playing,tag_counts
laya-features,0,123,56,200,16,max_steps,,False,False,False,False,False,186,0.93,112.5,110.6,127.4,96863.2,200,0,61800,0,False,"{""alternating_loop"": 0, ""repeated_state"": 183, ""invalid_repetition"": 185, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 182, ""harness_desync"": 0}"
laya-features,1,124,24,200,8,max_steps,,False,False,False,False,False,193,0.965,111.4,110.2,119.4,97984.4,200,0,61800,0,False,"{""alternating_loop"": 0, ""repeated_state"": 191, ""invalid_repetition"": 192, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 190, ""harness_desync"": 0}"
laya-features,2,125,68,200,16,max_steps,,False,False,False,False,False,185,0.925,113.3,111.2,124.6,96552.7,200,0,61800,0,False,"{""alternating_loop"": 0, ""repeated_state"": 182, ""invalid_repetition"": 184, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 182, ""harness_desync"": 0}"
laya-features,3,126,8,200,4,max_steps,,False,False,False,False,False,196,0.98,112.9,110.8,123.1,99258.3,200,0,61800,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 195, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 194, ""harness_desync"": 0}"
laya-features,4,127,36,200,8,max_steps,,False,False,False,False,False,188,0.94,110.2,109.9,117.8,96773.4,200,0,61800,0,False,"{""alternating_loop"": 0, ""repeated_state"": 185, ""invalid_repetition"": 187, ""corner_break"": 1, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 185, ""harness_desync"": 0}"
laya-features,5,128,52,200,8,max_steps,,False,False,False,False,False,183,0.915,111.7,110.8,120.6,95998.7,200,0,61800,0,False,"{""alternating_loop"": 0, ""repeated_state"": 181, ""invalid_repetition"": 182, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 181, ""harness_desync"": 0}"
laya-features,6,129,4,200,4,max_steps,,False,False,False,False,False,196,0.98,118.9,117.8,128.2,100513.9,200,0,61800,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 195, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 195, ""harness_desync"": 0}"
laya-features,7,130,48,200,8,max_steps,,False,False,False,False,False,180,0.9,115.5,112.5,139.2,96399.4,200,0,61800,0,False,"{""alternating_loop"": 0, ""repeated_state"": 175, ""invalid_repetition"": 178, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 174, ""harness_desync"": 0}"
laya-state-history,0,123,8,200,4,max_steps,,False,False,False,False,False,195,0.975,224.6,219.8,269.5,121606.3,200,0,125722,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 194, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 192, ""harness_desync"": 0}"
laya-state-history,1,124,4,200,4,max_steps,,False,False,False,False,False,196,0.98,250.1,247.2,303.4,126871.7,200,0,130330,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 195, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 195, ""harness_desync"": 0}"
laya-state-history,2,125,0,200,2,max_steps,,False,False,False,False,False,198,0.99,221.6,220.8,242.8,121555.5,200,0,125726,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 197, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 197, ""harness_desync"": 0}"
laya-state-history,3,126,0,200,2,max_steps,,False,False,False,False,False,200,1.0,217.1,218.6,237.3,121920.8,200,0,124178,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 199, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 197, ""harness_desync"": 0}"
laya-state-history,4,127,8,200,4,max_steps,,False,False,False,False,False,196,0.98,226.9,227.1,248.2,121843.2,200,0,128790,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 195, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 193, ""harness_desync"": 0}"
laya-state-history,5,128,40,200,8,max_steps,,False,False,False,False,False,186,0.93,242.8,247.9,271.3,122601.2,200,0,127170,0,False,"{""alternating_loop"": 0, ""repeated_state"": 184, ""invalid_repetition"": 185, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 185, ""harness_desync"": 0}"
laya-state-history,6,129,4,200,4,max_steps,,False,False,False,False,False,196,0.98,224.1,228.0,247.2,121684.1,200,0,128806,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 195, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 195, ""harness_desync"": 0}"
laya-state-history,7,130,0,200,2,max_steps,,False,False,False,False,False,199,0.995,208.8,208.0,229.2,119541.7,200,0,125746,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 198, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 197, ""harness_desync"": 0}"
