mode,game_id,seed,score,steps,max_tile,ended,abort_reason,reached_256,reached_512,reached_1024,reached_2048,reached_4096,invalid_moves,invalid_move_rate,latency_avg,latency_p50,latency_p95,wall_clock_ms,jev_calls,jev_rejections,tokens_in,tokens_out,kept_playing,tag_counts
laya-board,0,123,128,200,16,max_steps,,False,False,False,False,False,171,0.855,83.7,81.6,94.8,86830.3,200,0,41000,0,False,"{""alternating_loop"": 0, ""repeated_state"": 169, ""invalid_repetition"": 170, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 168, ""harness_desync"": 0}"
laya-board,1,124,4,200,4,max_steps,,False,False,False,False,False,198,0.99,83.4,82.2,93.7,94073.3,200,0,41000,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 197, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 195, ""harness_desync"": 0}"
laya-board,2,125,28,200,8,max_steps,,False,False,False,False,False,188,0.94,81.5,80.7,94.5,91501.3,200,0,41000,0,False,"{""alternating_loop"": 0, ""repeated_state"": 186, ""invalid_repetition"": 187, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 186, ""harness_desync"": 0}"
laya-board,3,126,16,200,4,max_steps,,False,False,False,False,False,189,0.945,84.3,84.1,103.6,91606.5,200,0,41000,0,False,"{""alternating_loop"": 0, ""repeated_state"": 187, ""invalid_repetition"": 188, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 187, ""harness_desync"": 0}"
laya-board,4,127,4,200,4,max_steps,,False,False,False,False,False,198,0.99,89.0,85.7,105.6,95041.2,200,0,41000,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 197, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 196, ""harness_desync"": 0}"
laya-board,5,128,8,200,4,max_steps,,False,False,False,False,False,195,0.975,83.5,82.0,96.4,93203.4,200,0,41000,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 194, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 192, ""harness_desync"": 0}"
laya-board,6,129,40,200,8,max_steps,,False,False,False,False,False,184,0.92,82.9,82.1,98.3,89885.8,200,0,41000,0,False,"{""alternating_loop"": 0, ""repeated_state"": 182, ""invalid_repetition"": 183, ""corner_break"": 1, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 182, ""harness_desync"": 0}"
laya-board,7,130,8,200,4,max_steps,,False,False,False,False,False,197,0.985,86.1,85.2,100.8,94184.3,200,0,41000,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 196, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 194, ""harness_desync"": 0}"
laya-state,0,123,8,200,4,max_steps,,False,False,False,False,False,195,0.975,109.4,108.1,121.4,98699.8,200,0,57483,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 194, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 192, ""harness_desync"": 0}"
laya-state,1,124,4,200,4,max_steps,,False,False,False,False,False,196,0.98,105.5,104.4,115.9,97619.8,200,0,57495,0,False,"{""alternating_loop"": 0, ""repeated_state"": 193, ""invalid_repetition"": 195, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 0, ""decision_stagnation"": 195, ""harness_desync"": 0}"
